cite_key,title,year,is_embodied,is_world_model,is_in_scope,time_in_scope,section_bucket,priority_tier,exclude_reason,source_pdf_path,notes
batra_rearrangement_2020,Rearrangement: {A} {Challenge} for {Embodied} {AI},2020,true,false,false,false,data-benchmark-eval,supporting,out_of_window,,
ahn_as_2022,"Do {As} {I} {Can}, {Not} {As} {I} {Say}: {Grounding} {Language} in {Robotic} {Affordances}",2022,true,false,false,false,foundation-definition,supporting,out_of_window,,
duan_survey_2022,A survey of embodied ai: {From} simulators to research tasks,2022,true,false,false,false,survey-meta,core,out_of_window,,
fan_minedojo_2022,{MineDojo}: {Building} {Open}-{Ended} {Embodied} {Agents} with {Internet}-{Scale} {Knowledge},2022,true,false,false,false,planning-reasoning,supporting,out_of_window,,
gadre_continuous_2022,Continuous scene representations for embodied ai,2022,true,false,false,false,foundation-definition,supporting,out_of_window,,
gao_dialfred_2022,Dialfred: {Dialogue}-enabled agents for embodied instruction following,2022,true,false,false,false,foundation-definition,supporting,out_of_window,,
huang_inner_2022,Inner {Monologue}: {Embodied} {Reasoning} through {Planning} with {Language} {Models},2022,true,false,false,false,planning-reasoning,supporting,out_of_window,,
huang_language_2022,Language models as zero-shot planners: {Extracting} actionable knowledge for embodied agents,2022,true,false,false,false,planning-reasoning,supporting,out_of_window,,
reed_generalist_2022,A {Generalist} {Agent},2022,true,false,false,false,foundation-definition,supporting,out_of_window,,
bousmalis_robocat_2023,{RoboCat}: {A} {Self}-{Improving} {Generalist} {Agent} for {Robotic} {Manipulation},2023,true,false,false,false,data-benchmark-eval,supporting,out_of_window,,
brehmer_edgi_2023,Edgi: {Equivariant} diffusion for planning with embodied agents,2023,true,false,false,false,planning-reasoning,supporting,out_of_window,,
brohan_rt-1_2023,{RT}-1: {Robotics} {Transformer} for {Real}-{World} {Control} at {Scale},2023,true,false,false,false,data-benchmark-eval,supporting,out_of_window,,
chebotar_q-transformer_2023,Q-{Transformer}: {Scalable} {Offline} {Reinforcement} {Learning} via {Autoregressive} {Q}-{Functions},2023,true,false,false,false,data-benchmark-eval,supporting,out_of_window,,
dasgupta_collaborating_2023,Collaborating with language models for embodied reasoning,2023,true,false,false,false,planning-reasoning,supporting,out_of_window,,
dorbala_can_2023,Can an embodied agent find your “cat-shaped mug”? llm-based zero-shot object navigation,2023,true,false,false,false,agent-architecture,supporting,out_of_window,,
